Rank,CommunityID,Address,Type,Stake/Balance,Special-Interaction
1,7,pc1rca8ux3jm74r5nydqmmk0jvyfa4fg0f49vzytku,Account,193753.84482,
1,7,pc1rtjplegw0er2u0vkuvh70l9fl5zw26d8ddn33a7,Account,65.924982127,
1,7,pc1rt38ahtnkdreyy76ke67npznfm4azqt5uzq5urn,Account,4.2,
1,7,pc1p64lnppmsuf5lucv07n2zn0epvyxq7xhfrvf870,Validator,1000,
1,7,pc1pcqctauzwszr6h3uf5ks6z99u7nvuq8tu8shu4e,Validator,1000,
1,7,pc1pjkyxwkrcr4409dltajgvjz0y274ezw3aqs0qrc,Validator,1000,
1,7,pc1pkkzqhyekx26fa4qgzp5j3mv779trhd7uhq626w,Validator,1000,
1,7,pc1plt6tuq9tycu57r4zkc6zsfyap0k79vkc0fn8jy,Validator,1000,
1,7,pc1pmgp8l2v40gllde982hqyw5rm8t74kdevrfuq5l,Validator,1000,
1,7,pc1ps0peg8279ncsf3fpl99jmuyneznnw6kk9nfatp,Validator,1000,
1,7,pc1psvhv63cqmttzlvv2vpqgc5e9d0p4qm6se6rxwq,Validator,1000,
1,7,pc1py4gdpqwvzmlfhlwgzu079248uf8jyzqu5xa24n,Validator,1000,
1,7,pc1py8g6fkfsmd5g8lf5qvpzl8dwcem2lcyscdfrwn,Validator,1000,
1,7,pc1pzrd6kcaprexdxc9g8ynnalgavgpykt8lzhalhy,Validator,1000,
1,7,pc1p3fneyj05tj67qjatyu7gkzf84dk7qyq6xf0as4,Validator,1000,
1,7,pc1p5746uldnk33m578q6cjv8ncg7jz9cgzwykw8e8,Validator,1000,
1,7,pc1p5g90kj7xatte8aeclkl89l0l4n7a7xl5dyvqhy,Validator,1000,
1,7,pc1p626vx5agrx8luje5nyq46g7hhjmrgvwmtn5he5,Validator,1000,
1,7,pc1p7k8wg2h906d6pegd9kn0xkk5kkryx38j5a8wq6,Validator,1000,
1,7,pc1pegefg7khp4j6lqn35mahrx8mtxdtwhy5v420rq,Validator,1000,
1,7,pc1pehat4hwgufe6yq8fml8acvvtlxr5gst0q08drz,Validator,1000,
1,7,pc1pj2dffeef5ff00valms7dnj7pv2sw0zw2q3rh8z,Validator,1000,
1,7,pc1pmc4azdsx6glnyypf2lqrfqw58hh6v5nf5lsyey,Validator,1000,
1,7,pc1pqqcav9z6p5exrurjln2jmql7sglv80lhnxykgu,Validator,1000,
1,7,pc1psem2d8upq2n0c5dvhevfsakj5k4qq6egqae759,Validator,1000,
1,7,pc1pucrrglv4l07pkzs3anl8mxh8khuwwl76nczsll,Validator,1000,
1,7,pc1pudcuxw0c5kmhmhfrzmavvjp0gf43h4hf79hz0j,Validator,1000,
1,7,pc1pwzruue4lk5vp9n84cxs3hfck06vtm7lfm7mxf6,Validator,1000,
1,7,pc1pz2zqvqynau7dh6x8zmtdxx4qgn0499x8rt2d63,Validator,1000,
1,7,pc1pt6n0nv5747xms52dwn7uh8256grtk7r5sxyv3u,Validator,576.654685295,
1,7,pc1pmlm0sdy7qvvyfs7vl0cttjlfv5krjvhp9xwad0,Validator,500,
2,1,pc1rlpve2m6czmwdfky4tuwr48f4nmt333333338x8,Account,83.3,
2,1,pc1p04p5udhf5zc73tgn45qc94aq2hzwhqhc8nenpt,Validator,1000,
2,1,pc1p04whep0wk6rc5kw7vg4nnrkcuvuhw4k8zsmk2e,Validator,1000,
2,1,pc1p0rrmsdv8ulsyz2yqcmxfr5f4xc6mfdl58kwnay,Validator,1000,
2,1,pc1p0vmwcfhu75d6djuvusgl88plhk8zycns29d9jh,Validator,1000,
2,1,pc1p2hr0849c0dkc4w0ymz6sxn7dueguy46n5ewn8s,Validator,1000,
2,1,pc1p2jmwfx990p477mpup4wffvea4tjn54jp2nf566,Validator,1000,
2,1,pc1p2kftljx2t8gdr7rmy7vt4z7y0jd297v6vkp6ty,Validator,1000,
2,1,pc1p2xsz0vz02p6z7kynnkgst3e05vzy2cun42sung,Validator,1000,
2,1,pc1p3aqpwn8u7y8truhn9cvguqzup0k9282d76msgr,Validator,1000,
2,1,pc1p3d8s6xcmkfrtdmq3gkqqsvnmkqzrep0qpw4lkq,Validator,1000,
2,1,pc1p3g8cs3eh006ml0xmxawwph4vw4xknshdl60rnw,Validator,1000,
2,1,pc1p3qjymffgayhez3np75aq0y56laczyw7p3qsx8a,Validator,1000,
2,1,pc1p3v9pzz2xytm7242g8n93y94rfqwvjh07n86hsq,Validator,1000,
2,1,pc1p43u9dxya8kj46nswv0l6mcl77sdmdd7pucgyd7,Validator,1000,
2,1,pc1p4dx3r0hwdcvk7wu0t29jh6ymelnttg6t7aqayf,Validator,1000,
2,1,pc1p4l2vdxwl58kgm9q4p8vrhg7rvs8yzvv8xm5gmz,Validator,1000,
2,1,pc1p4qqm8m0kkvdgeltsgdg5gc4vr8shkxd8zkgfeu,Validator,1000,
2,1,pc1p4v28ajuq59el6fnhetr4w9yvhv6wa9ymthzc7z,Validator,1000,
2,1,pc1p5gq77ewtsk844c4huyvwjjn9866w5cncecvp54,Validator,1000,
2,1,pc1p5h539dncdgklxaaz2zypkue267kmj809346fyl,Validator,1000,
2,1,pc1p5p0svlk3sy580u8elum66gkyesurd7p0hdrhdp,Validator,1000,
2,1,pc1p643sqpew95cstsne3jn3sasd30p9lq0y2f2lzz,Validator,1000,
2,1,pc1p64yqyuxzp804clwxm2pn6ed8g79xtj7xkyyg6z,Validator,1000,
2,1,pc1p67c5tmsy2s3kj9dercr7p46uqhjvdpyrupx3lj,Validator,1000,
2,1,pc1p6elve9trfpns8dyvrgap52gf730w9r8ptamegd,Validator,1000,
2,1,pc1p7244dnkac9gzstf2z9paw9qv3fyaa0fq27dxwt,Validator,1000,
2,1,pc1p77w9kdfe06uxpetyk0kjk5qysvr832yjvy5wuk,Validator,1000,
2,1,pc1p7ekzr82txjrngtwvmfkje7u3gr4xe6m47jm9yd,Validator,1000,
2,1,pc1p7expz465yyqkf3h0zvqsha5zjae2rfg97x9rvh,Validator,1000,
2,1,pc1p7katarsz9kaj4yl4wfq5sf9ye0lqveh57k3e5w,Validator,1000,
